Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Employee_No,Net Salary,Marital_Status
1,1,37,0,2,1960.0,9.942465753424658,0,1.0,0.0,391,145538.1725,1
1,5,22,1,2,1989.0,9.90958904109589,1,1.0,0.0,392,342752.595,1
1,5,6,1,2,1965.0,9.75890410958904,1,1.0,0.0,393,1203337.925,1
1,1,46,0,2,1993.0,8.479452054794521,0,1.0,0.0,394,154314.96,1
1,1,67,1,2,1993.0,9.36986301369863,0,1.0,0.0,396,249231.59000000003,0
1,3,27,0,2,1989.0,7.594520547945206,0,1.0,0.0,399,97329.05,1
1,3,27,1,2,1988.0,8.942465753424658,0,1.0,0.0,400,451889.55500000005,0
1,1,7,1,2,1972.0,8.854794520547944,0,1.0,0.0,401,365732.945,1
1,1,24,0,2,1995.0,8.863013698630137,0,1.0,0.0,402,269663.84500000003,0
1,1,43,0,2,1992.0,8.67123287671233,0,1.0,0.0,403,123909.035,1
1,1,36,1,2,1987.0,8.583561643835617,1,1.0,0.0,404,717194.065,0
1,1,27,0,2,1986.7142857142856,8.56986301369863,0,1.0,0.0,405,274609.3025,0
1,3,8,0,2,1990.0,8.295890410958904,0,1.0,0.0,407,550581.2424999999,0
1,1,8,1,2,1990.0,8.257534246575343,0,1.0,0.0,408,546129.72,0
1,1,52,0,2,1995.0,6.317808219178082,0,1.0,0.0,410,136350.575,0
1,1,24,1,2,1992.7142857142856,7.684931506849315,0,1.0,0.0,411,347961.78,1
1,1,35,0,2,1997.0,7.676712328767123,0,1.0,0.0,413,55960.48,0
1,3,54,0,2,1985.0,6.586301369863014,0,1.0,0.0,414,355938.46,0
1,4,36,0,2,1982.0,6.153424657534247,0,1.0,0.0,415,93760.75,0
1,3,27,0,2,1986.0,5.8191780821917805,0,1.0,0.0,416,274609.3025,1
1,1,22,0,2,1988.0,5.772602739726027,0,1.0,0.0,419,539955.7125,1
1,1,24,1,2,1995.0,7.33972602739726,0,1.0,0.0,420,312873.53,1
1,1,24,0,2,1997.0,6.665753424657535,0,1.0,0.0,421,244898.87,0
0,1,8,0,2,1981.0,5.235616438356164,0,1.0,0.0,422,530925.08,1
1,1,57,1,2,1987.0,6.6438356164383565,0,1.0,0.0,423,365750.1,0
1,1,24,0,2,1988.0,6.605479452054794,0,1.0,0.0,424,59490.12,0
1,1,38,0,2,1965.0,6.046575342465753,0,1.0,0.0,425,282076.345,1
1,1,58,0,2,1962.0,1.3150684931506849,0,1.0,0.0,426,118072.58,1
0,1,48,1,2,1980.0,6.298630136986302,0,1.0,0.0,427,647481.0700000001,1
1,1,62,1,1,1947.0,4.002739726027397,0,1.0,0.0,431,279107.4,1
1,1,63,0,2,1993.0,5.906849315068493,0,1.0,0.0,433,248634.665,1
1,1,64,0,2,1972.0,4.589041095890411,0,1.0,0.0,434,509386.17,1
1,1,22,1,2,1988.0,6.049315068493151,1,1.0,0.0,435,539440.925,0
1,3,27,1,2,1981.0,6.049315068493151,0,1.0,0.0,436,511540.155,1
1,1,8,0,2,1991.0,5.010958904109589,0,1.0,0.0,437,411781.78,1
1,1,59,1,2,1991.0,5.961643835616439,0,1.0,0.0,438,519046.6,0
1,1,113,1,2,1981.0,5.978082191780822,0,1.0,0.0,440,485589.76,0
0,1,59,0,2,1989.0,4.556164383561644,0,1.0,0.0,443,442398.35,0
1,1,6,0,2,1966.0,5.876712328767123,0,1.0,0.0,444,625860.5775,1
1,1,31,0,1,1955.0,2.4136986301369863,0,1.0,0.0,446,76481.9,1
1,1,31,0,1,1966.0,1.9424657534246572,0,1.0,0.0,448,45465.4,1
1,1,31,0,1,1976.0,0.347945205479452,0,1.0,0.0,450,37412.9,1
1,1,22,0,3,1985.0,5.841095890410959,0,1.0,0.0,451,528722.735,0
1,1,7,1,2,1961.0,5.780821917808219,0,1.0,0.0,453,492734.17,1
1,3,49,0,2,1992.142857142857,4.904109589041096,1,1.0,0.0,455,180549.6,0
1,1,30,0,1,1973.7142857142856,4.002739726027397,0,1.0,0.0,456,55306.5,1
1,1,31,0,1,1967.0,2.5863013698630137,0,1.0,0.0,457,81950.4,1
1,1,30,0,1,1955.0,2.838356164383561,0,1.0,0.0,460,54120.05,1
1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,461,45799.05,1
1,1,31,0,1,1976.0,3.4136986301369863,0,1.0,0.0,466,143967.2,1
1,3,31,1,1,1975.857142857143,4.002739726027397,0,1.0,0.0,468,284647.6,1
1,1,1,0,1,1992.0,0.9123287671232876,0,1.0,0.0,471,196040.275,0
1,1,31,0,1,1959.0,1.9095890410958904,0,1.0,0.0,475,26356.4,1
1,5,22,0,2,1985.0,4.654794520547945,0,1.0,0.0,476,237861.88,1
0,1,70,0,2,1992.0,5.635616438356164,0,1.0,0.0,478,301176.47,1
1,3,69,0,2,1989.0,5.493150684931507,0,1.0,0.0,480,301176.47,0
0,1,59,1,2,1984.0,5.578082191780822,0,1.0,0.0,481,346126.82,0
1,1,22,0,2,1986.0,3.9287671232876713,1,1.0,0.0,482,454493.7475,1
1,1,1,0,1,1983.0,1.252054794520548,0,1.0,0.0,486,132631.6,1
1,1,124,1,1,1992.0,4.002739726027397,0,1.0,0.0,487,542322.7,1
1,3,31,0,1,1995.0,4.002739726027397,0,1.0,0.0,490,108285.6,0
1,1,29,1,1,1957.0,4.002739726027397,0,1.0,0.0,495,288059.8,1
1,1,22,1,2,1988.0,5.506849315068493,1,1.0,0.0,496,540470.5,1
1,1,31,0,1,1958.0,0.8986301369863013,0,1.0,0.0,501,106750.8,1
1,3,31,0,1,1991.0,2.1671232876712327,0,1.0,0.0,504,44954.6,1
1,1,37,0,2,1959.0,3.841095890410959,0,1.0,0.0,505,27221.35,1
1,1,24,0,2,1986.7142857142856,5.315068493150685,0,1.0,0.0,508,288747.3325,0
0,3,8,0,2,1993.0,5.298630136986302,0,1.0,0.0,509,461780.2400000001,1
1,3,8,0,2,1991.0,4.408219178082192,0,1.0,0.0,510,258739.765,0
1,1,24,0,2,1994.0,5.252054794520548,0,1.0,0.0,512,330417.655,0
0,1,65,0,2,1994.0,3.2164383561643834,0,1.0,0.0,514,352324.315,0
1,1,8,0,2,1992.0,5.03013698630137,0,1.0,0.0,515,538301.2475,0
1,1,72,1,2,1990.0,4.964383561643835,0,1.0,0.0,516,353121.35,0
0,1,8,1,2,1993.0,4.964383561643835,0,1.0,0.0,517,664820.7150000001,0
1,1,1,0,1,1977.142857142857,4.002739726027397,0,1.0,0.0,520,32872.465000000004,1
1,1,1,0,1,1980.142857142857,1.915068493150685,0,1.0,0.0,521,46471.35,1
0,1,31,1,1,1970.0,4.002739726027397,0,1.0,0.0,523,18440.0,1
1,1,1,0,1,1994.0,3.9808219178082194,0,1.0,0.0,532,13095.6,1
1,3,31,0,1,1997.0,3.032876712328767,0,1.0,0.0,534,28319.4,0
1,5,69,0,2,1997.0,4.876712328767123,0,1.0,0.0,536,273840.28750000003,0
