Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Marital_Status
1,1,134,0,1,1952.0,1.4712328767123288,0,1.0,0.0,Married
1,1,31,0,1,2003.0,3.0136986301369864,0,1.0,0.0,Single
1,1,31,0,1,2003.0,3.0136986301369864,0,1.0,0.0,Single
1,1,31,0,1,1993.0,2.9452054794520546,0,1.0,0.0,Married
1,1,31,0,1,1964.0,2.887671232876712,0,1.0,0.0,Married
1,3,31,0,1,1998.857142857143,1.832876712328767,0,1.0,0.0,Single
1,1,55,0,1,1997.0,1.126027397260274,0,1.0,0.0,Single
1,1,31,0,1,2001.0,2.3835616438356166,0,1.0,0.0,Single
1,1,31,0,1,1961.0,2.0191780821917806,0,1.0,0.0,Married
1,1,31,0,1,1999.0,3.0356164383561643,0,1.0,0.0,Single
1,4,31,0,1,1990.0,3.2164383561643834,0,1.0,0.0,Married
1,4,31,1,1,2000.0,2.8109589041095893,0,1.0,0.0,Single
1,3,31,0,1,2000.0,3.024657534246576,0,1.0,0.0,Single
1,3,31,0,1,1954.0,2.4136986301369863,0,1.0,0.0,Married
1,3,31,0,1,1981.4285714285716,4.002739726027397,0,1.0,0.0,Married
1,4,31,0,1,1961.0,2.4136986301369863,0,1.0,0.0,Married
1,3,31,0,1,1996.0,4.002739726027397,0,1.0,0.0,Single
1,4,31,0,1,2000.0,3.9178082191780814,0,1.0,0.0,Single
1,4,31,0,1,1966.0,3.506849315068493,0,1.0,0.0,Married
1,3,31,0,1,1995.0,3.589041095890411,0,1.0,0.0,Single
1,1,31,0,1,1993.0,2.682191780821918,0,1.0,0.0,Married
1,1,31,0,1,1968.0,4.002739726027397,0,1.0,0.0,Married
1,1,31,0,1,1983.0,2.0575342465753423,0,1.0,0.0,Single
1,1,1,0,1,1980.0,3.589041095890411,0,1.0,0.0,Married
1,1,31,0,1,1992.0,3.1835616438356165,0,1.0,0.0,Married
1,1,31,0,1,1995.0,0.2191780821917808,0,1.0,0.0,Married
1,1,31,0,1,1999.0,0.2191780821917808,0,1.0,0.0,Single
1,3,122,1,1,1985.0,2.5863013698630137,0,1.0,0.0,Single
1,3,31,0,1,1978.0,3.276712328767123,0,1.0,0.0,Married
