Employee_No,Net Salary
1448,76889.2
1449,14040.0
1450,101481.0
1452,42985.2
1453,39103.7
1454,50291.6
1455,48235.0
1456,13118.72
1457,18098.4
1458,37268.1
1459,77838.5
1461,24015.7
1462,36257.0
1463,77667.8
1464,89490.8
1465,40033.9
1466,24840.0
1467,46544.5
1468,79821.73333333334
1469,25130.4
1470,37388.3
1471,21480.0
1472,46459.2
1473,44614.6
1474,51305.1
1475,43282.7
1476,47092.6
1477,98873.3
1478,144752.8
1479,68810.3
1480,44635.0
1483,16569.6
1484,136757.6
1485,59880.2
1486,135308.24000000002
1487,60726.2
1488,59122.2
1489,30093.4
1490,117215.6
1491,136168.8
1492,37487.8
1493,60215.0
1495,48000.0
1498,36750.0
1499,202101.3
1501,3375.0
1502,0.0
1504,252623.93333333335
1510,9280.0
1512,122925.0
1515,33707.5
1516,6000.0
1517,108493.7
1518,124979.35
1525,55898.66
1526,130545.85
1527,6560.0
1528,28909.215
1529,11627.015
1531,42000.0
1532,121246.82500000001
1533,14040.0
1534,71229.34
1538,931340.0
1539,0.0
1540,0.0
1543,42575.0
1545,140119.2
1546,25975.0
1547,66225.0
1548,87550.0
1549,61549.6
1550,149600.0
1551,58251.509999999995
1552,15384.6
1553,9100.0
1554,13000.0
1555,3375.0
1556,29588.6
1557,16800.0
1558,75300.0
1559,132045.0
1560,55055.0
1561,81161.0
1562,28775.0
1563,52843.479999999996
1564,21000.0
1565,23520.0
1566,277698.4
1567,218153.175
1568,16200.0
1569,37500.0
1570,20700.0
1571,19500.0
1572,14950.0
1573,53975.0
1574,184795.04499999998
1575,340915.545
1576,25775.0
1577,6000.0
1578,82371.8
1579,25475.0
1580,47972.2
1581,38878.4
1582,50025.0
1583,51325.0
1584,48703.8
1585,58125.8
1586,44717.8
1587,46767.4
1588,7800.0
1589,58905.0
1590,60921.8
1591,3600.0
1592,39875.0
1593,0.0
1594,14000.0
1595,166125.8
1596,85482.0
1597,41575.0
1598,221570.0
1599,72375.0
1600,1408089.375
1601,6075.0
1602,5400.0
1603,95609.42
1604,29975.0
1605,31475.0
1606,38975.0
1607,121150.0
1608,28475.0
1609,28500.0
1610,13500.0
1611,41975.0
1612,7500.0
1613,45275.0
1614,23250.0
1615,41923.04
1616,100516.8
1617,29225.0
1620,95263.4
1621,191969.59999999998
1622,41295.4
1623,175193.4
1625,0.0
1628,424318.335
1629,0.0
1630,203575.64
1631,19950.0
