,Employee_No,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Employment_Type_Contarct Basis,Employment_Type_Permanant,Net Salary,Marital_Status
70,450,1,1,31,0,1,0.5,0.010404718990660332,0,1.0,0.0,0.017719083514119206,1
71,451,1,1,22,0,3,0.6500000000000057,0.1746681959691955,0,1.0,0.0,0.25216239383119987,0
72,453,1,1,7,1,2,0.25,0.17286580370309684,0,1.0,0.0,0.23498936428628672,1
73,455,1,3,49,0,2,0.769047619047619,0.14664918892348025,1,1.0,0.0,0.08602107827443758,0
74,456,1,1,30,0,1,0.46190476190476915,0.11969523185318696,0,1.0,0.0,0.026257554594165292,1
75,457,1,1,31,0,1,0.3500000000000014,0.07733901359986892,0,1.0,0.0,0.03897149531093777,1
76,460,1,1,30,0,1,0.15000000000000568,0.08487629034900869,0,1.0,0.0,0.025691404182122957,1
77,461,1,1,1,0,1,0.519047619047619,0.11969523185318696,0,1.0,0.0,0.02172078799214087,1
78,466,1,1,31,0,1,0.5,0.10208094379813207,0,1.0,0.0,0.06856468244359987,1
79,468,1,3,31,1,1,0.49761904761905384,0.11969523185318696,0,1.0,0.0,0.13569457955370154,1
80,471,1,1,1,0,1,0.7666666666666728,0.027281664755038508,0,1.0,0.0,0.09341292119581131,0
81,475,1,1,31,0,1,0.21666666666666856,0.05710306406685237,0,1.0,0.0,0.012443140970610377,1
82,476,1,5,22,0,2,0.6500000000000057,0.1391938390955268,0,1.0,0.0,0.11336936175632518,1
83,478,0,1,70,0,2,0.7666666666666728,0.16852367688022285,0,1.0,0.0,0.143581828541096,1
84,480,1,3,69,0,2,0.7166666666666686,0.16426347697853516,0,1.0,0.0,0.143581828541096,0
85,481,0,1,59,1,2,0.6333333333333329,0.1668032115353105,0,1.0,0.0,0.16503124417087145,0
86,482,1,1,22,0,2,0.6666666666666714,0.11748320498115682,1,1.0,0.0,0.21674179299794935,1
87,486,1,1,1,0,1,0.6166666666666671,0.037440602982139935,0,1.0,0.0,0.06315555891479792,1
88,487,1,1,124,1,1,0.7666666666666728,0.11969523185318696,0,1.0,0.0,0.25865202743439536,1
89,490,1,3,31,0,1,0.81666666666667,0.11969523185318696,0,1.0,0.0,0.05153813050940145,0
90,495,1,1,29,1,1,0.18333333333333712,0.11969523185318696,0,1.0,0.0,0.13732281372789418,1
91,496,1,1,22,1,2,0.7000000000000028,0.16467311158446665,1,1.0,0.0,0.2577681943245426,1
92,501,1,1,31,0,1,0.20000000000000284,0.026872030149106996,0,1.0,0.0,0.050805754385331685,1
93,504,1,3,31,0,1,0.75,0.06480419465836473,0,1.0,0.0,0.02131783319804997,1
94,505,1,1,37,0,2,0.21666666666666856,0.11486154350319515,0,1.0,0.0,0.012855877958174972,1
95,508,1,1,24,0,2,0.6785714285714306,0.15893822710142552,0,1.0,0.0,0.13765089060274563,0
96,509,0,3,8,0,2,0.7833333333333385,0.15844666557430773,0,1.0,0.0,0.22021876272378557,1
97,510,1,3,8,0,2,0.75,0.13182041618875961,0,1.0,0.0,0.1233318744583543,0
98,512,1,1,24,0,2,0.8000000000000043,0.1570539079141406,0,1.0,0.0,0.1575351421542749,0
99,514,0,1,65,0,2,0.8000000000000043,0.09618220547271833,0,1.0,0.0,0.1679885658851285,0
100,515,1,1,8,0,2,0.7666666666666728,0.15041782729805014,0,1.0,0.0,0.2567330700490158,0
101,516,1,1,72,1,2,0.7333333333333343,0.14845158118957888,0,1.0,0.0,0.16836889518148498,0
102,517,0,1,8,1,2,0.7833333333333385,0.14845158118957888,0,1.0,0.0,0.31710565098921684,0
103,520,1,1,1,0,1,0.519047619047619,0.11969523185318696,0,1.0,0.0,0.015552477971448694,1
104,521,1,1,1,0,1,0.5690476190476232,0.057266917909224974,0,1.0,0.0,0.022041596220061188,1
105,523,0,1,31,1,1,0.4000000000000057,0.11969523185318696,0,1.0,0.0,0.008665591877187205,1
106,532,1,1,1,0,1,0.8000000000000043,0.11903981648369655,0,1.0,0.0,0.006115350179585922,1
107,534,1,3,31,0,1,0.8500000000000014,0.09069310175323611,0,1.0,0.0,0.013379845643238046,0
108,536,1,5,69,0,2,0.8500000000000014,0.14582991971161724,0,1.0,0.0,0.1305375443436672,0
109,537,1,1,107,1,2,0.75,0.14533835818449944,1,1.0,0.0,0.30891543076863603,0
110,538,1,5,27,0,2,0.8000000000000043,0.14083237751925284,0,1.0,0.0,0.09527362561905509,0
111,539,1,1,43,0,2,0.7833333333333385,0.14066852367688024,0,1.0,0.0,0.04680595385618612,0
