,Gender,Religion_ID,Designation_ID,Status,Employment_Category,Year_of_Birth,ages_in_the_company,reported,Marital_Status_Married,Marital_Status_Single,Employment_Type_Contarct Basis,Employment_Type_Permanant
937,1,1,31,0,1,1980.0,0.03561643835616438,0,1.0,0.0,1.0,0.0
938,1,5,31,0,1,1982.0,0.06301369863013699,0,1.0,0.0,1.0,0.0
939,1,1,55,0,1,1972.0,0.27123287671232876,0,1.0,0.0,1.0,0.0
940,1,1,31,0,1,1990.0,0.06027397260273973,0,1.0,0.0,1.0,0.0
941,1,1,31,1,1,1972.0,0.8027397260273973,0,1.0,0.0,1.0,0.0
942,0,1,8,0,2,1983.0,0.29041095890410956,0,0.0,0.0,1.0,0.0
943,1,1,31,1,1,1998.0,0.8082191780821918,0,1.0,0.0,1.0,0.0
944,1,1,31,1,1,1986.0,0.810958904109589,0,0.0,0.0,1.0,0.0
945,1,1,191,0,2,1994.0,0.3643835616438356,0,0.0,0.0,1.0,0.0
946,1,1,31,1,1,1999.0,0.8383561643835616,0,0.0,0.0,1.0,0.0
947,1,1,31,1,1,1996.0,0.8328767123287671,0,1.0,0.0,1.0,0.0
948,0,1,30,0,1,1998.0,0.14794520547945206,0,0.0,1.0,1.0,0.0
949,1,1,22,1,2,1991.0,0.8136986301369863,1,0.0,1.0,1.0,0.0
950,1,1,31,0,1,1995.0,0.0273972602739726,0,1.0,0.0,1.0,0.0
951,1,1,192,1,2,1995.0,0.7835616438356164,0,1.0,0.0,1.0,0.0
952,1,1,7,1,2,2000.0,0.7835616438356164,0,0.0,1.0,1.0,0.0
953,1,1,33,1,2,1995.0,0.7835616438356164,0,0.0,1.0,1.0,0.0
954,1,5,6,0,2,1964.0,0.03561643835616438,0,1.0,0.0,1.0,0.0
955,1,1,4,1,1,1975.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
956,1,1,4,1,1,1990.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
957,1,1,4,1,1,1974.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
958,1,1,4,1,1,1987.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
959,1,1,4,1,1,1995.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
960,1,1,4,1,1,1987.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
961,1,1,4,1,1,1972.0,0.7890410958904109,0,1.0,0.0,1.0,0.0
962,1,1,31,1,1,1998.0,0.8027397260273973,0,0.0,1.0,1.0,0.0
963,1,1,31,0,1,2002.0,0.44931506849315067,0,0.0,1.0,1.0,0.0
964,1,5,22,0,2,1997.0,0.40273972602739727,0,1.0,0.0,1.0,0.0
965,1,1,8,0,2,1997.0,0.0410958904109589,0,0.0,0.0,1.0,0.0
966,1,3,8,1,2,1997.0,0.7068493150684931,0,0.0,1.0,1.0,0.0
967,1,1,22,1,2,1994.0,0.7041095890410959,0,0.0,0.0,1.0,0.0
968,1,1,4,1,1,1987.0,0.6931506849315069,0,1.0,0.0,0.0,1.0
969,1,1,124,1,1,1968.0,0.6876712328767123,0,1.0,0.0,1.0,0.0
970,1,1,56,0,1,1986.0,0.021917808219178082,0,1.0,0.0,1.0,0.0
971,1,1,90,0,2,1987.0,0.3315068493150685,0,1.0,0.0,1.0,0.0
972,1,1,31,1,1,1965.0,0.684931506849315,0,1.0,0.0,1.0,0.0
973,1,1,31,1,1,1980.0,0.6821917808219178,0,1.0,0.0,1.0,0.0
974,1,1,78,0,2,1989.0,0.38082191780821917,0,1.0,0.0,1.0,0.0
975,1,1,1,1,1,1991.0,0.6712328767123288,0,1.0,0.0,1.0,0.0
976,1,1,31,1,1,1980.0,0.663013698630137,0,1.0,0.0,1.0,0.0
977,1,1,31,1,1,1998.0,0.6054794520547945,0,0.0,1.0,1.0,0.0
978,1,1,31,1,1,1998.0,0.6054794520547945,0,0.0,1.0,1.0,0.0
979,1,1,31,1,1,1998.0,0.6054794520547945,0,0.0,1.0,1.0,0.0
980,1,1,31,1,1,1998.0,0.6054794520547945,0,0.0,1.0,1.0,0.0
981,1,1,24,1,1,1978.7142857142858,0.5342465753424658,0,1.0,0.0,1.0,0.0
982,1,1,104,0,3,1965.0,0.3095890410958904,0,1.0,0.0,1.0,0.0
983,1,1,54,1,1,1986.0,0.4520547945205479,1,1.0,0.0,1.0,0.0
984,0,1,143,1,2,1996.0,0.3506849315068493,0,0.0,1.0,1.0,0.0
985,1,1,31,1,1,1980.0,0.3424657534246575,0,1.0,0.0,1.0,0.0
986,0,1,33,1,2,1989.0,0.33424657534246577,0,1.0,0.0,1.0,0.0
987,1,1,38,1,2,1965.0,0.33424657534246577,0,1.0,0.0,1.0,0.0
988,1,1,8,1,2,1988.0,0.26575342465753427,0,0.0,0.0,1.0,0.0
989,1,1,78,1,2,1984.0,0.26301369863013696,0,1.0,0.0,1.0,0.0
990,1,1,198,1,2,1981.0,0.23835616438356164,0,1.0,0.0,1.0,0.0
991,1,1,111,1,2,1996.0,0.1863013698630137,0,0.0,1.0,1.0,0.0
992,0,1,17,0,2,1993.0,0.13972602739726028,0,0.0,1.0,1.0,0.0
993,1,1,8,1,2,1994.0,0.11232876712328767,0,0.0,1.0,1.0,0.0
994,1,1,201,1,2,1997.0,0.07397260273972603,0,0.0,1.0,1.0,0.0
995,1,1,8,1,2,1990.0,0.06575342465753424,0,0.0,1.0,1.0,0.0
996,1,1,104,1,3,1979.0,0.03287671232876712,0,1.0,0.0,1.0,0.0
